Date,Price,Open,High,Low,Vol,Change,200EMA,20EMA
2023.03.01,1.0665,1.0576,1.0692,1.0565,73190,0.84,1.0533,1.0673
2023.02.28,1.0576,1.0605,1.0646,1.0574,86730,-0.29,1.0532,1.0674
2023.02.27,1.0607,1.0541,1.062,1.0532,84550,0.58,1.0531,1.0684
2023.02.24,1.0546,1.0597,1.0616,1.0536,65870,-0.46,1.0531,1.0693
2023.02.23,1.0595,1.0603,1.0628,1.0576,67060,-0.06,1.053,1.0708
2023.02.22,1.0601,1.0648,1.0664,1.0598,74530,-0.42,1.053,1.072
2023.02.21,1.0646,1.0686,1.0698,1.0637,72420,-0.34,1.0529,1.0732
2023.02.20,1.0682,1.0688,1.0705,1.067,52710,-0.11,1.0528,1.0741
2023.02.17,1.0694,1.0674,1.0699,1.0612,88740,0.24,1.0526,1.0748
2023.02.16,1.0668,1.069,1.0723,1.0654,75550,-0.2,1.0525,1.0753
2023.02.15,1.0689,1.0738,1.0746,1.066,65430,-0.43,1.0523,1.0762
2023.02.14,1.0735,1.0723,1.0805,1.0706,74170,0.14,1.0522,1.077
2023.02.13,1.072,1.0679,1.0731,1.0655,69660,0.42,1.0519,1.0774
2023.02.10,1.0675,1.0738,1.0754,1.0666,64560,-0.57,1.0517,1.0779
2023.02.09,1.0736,1.0711,1.0793,1.0709,69230,0.25,1.0516,1.079
2023.02.08,1.0709,1.0726,1.0761,1.0709,63660,-0.13,1.0514,1.0796
2023.02.07,1.0723,1.0727,1.0768,1.0667,111810,-0.07,1.0512,1.0805
2023.02.06,1.073,1.079,1.0799,1.0709,90140,-0.58,1.051,1.0814
2023.02.03,1.0793,1.0909,1.0941,1.0791,103100,-1.07,1.0507,1.0823
2023.02.02,1.091,1.099,1.1034,1.0885,88060,-0.72,1.0504,1.0826
2023.02.01,1.0989,1.0864,1.1001,1.0852,77540,1.17,1.05,1.0817
2023.01.31,1.0862,1.085,1.0876,1.0802,76110,0.17,1.0495,1.0799
2023.01.30,1.0844,1.0875,1.0914,1.0839,77690,-0.21,1.0492,1.0792
2023.01.27,1.0867,1.0892,1.0901,1.0836,92390,-0.2,1.0488,1.0787
2023.01.26,1.0889,1.0917,1.093,1.0849,85140,-0.24,1.0484,1.0779
2023.01.25,1.0915,1.0881,1.0925,1.0856,73250,0.28,1.048,1.0767
2023.01.24,1.0885,1.0872,1.0898,1.0834,69930,0.16,1.0476,1.0751
2023.01.23,1.0868,1.086,1.0927,1.0846,72100,0.12,1.0472,1.0737
2023.01.20,1.0855,1.0833,1.086,1.0802,77670,0.26,1.0468,1.0724
2023.01.19,1.0827,1.079,1.0841,1.0782,103050,0.32,1.0464,1.071
2023.01.18,1.0792,1.079,1.0889,1.0766,110020,0.04,1.046,1.0697
2023.01.17,1.0788,1.0822,1.087,1.0775,109130,-0.26,1.0457,1.0688
2023.01.16,1.0816,1.0834,1.0875,1.0801,66660,-0.11,1.0454,1.0677
2023.01.13,1.0828,1.0854,1.0869,1.078,98060,-0.17,1.045,1.0662
2023.01.12,1.0846,1.0757,1.0868,1.073,95620,0.85,1.0446,1.0645
2023.01.11,1.0755,1.0736,1.0777,1.0725,87800,0.2,1.0442,1.0624
2023.01.10,1.0734,1.0725,1.076,1.0711,94330,0.06,1.0439,1.061
2023.01.09,1.0728,1.0637,1.0761,1.0636,87400,0.79,1.0436,1.0597
2023.01.06,1.0644,1.0522,1.0648,1.0483,94850,1.18,1.0433,1.0583
2023.01.05,1.052,1.0604,1.0632,1.0515,81260,-0.75,1.0431,1.0577
2023.01.04,1.0599,1.0552,1.0636,1.054,90180,0.5,1.043,1.0583
2023.01.03,1.0546,1.0663,1.0684,1.0519,94720,-1.09,1.0428,1.0581
2023.01.02,1.0662,1.0702,1.0708,1.065,21160,-0.37,1.0427,1.0584
2022.12.30,1.0702,1.0663,1.0714,1.0639,71530,0.38,1.0425,1.0576
2022.12.29,1.0661,1.0609,1.0691,1.0609,59740,0.5,1.0422,1.0563
