Date,Price,Open,High,Low,Change %,200EMA,20EMA,toZone,kt_score,bs_score
10/07/2015,1.1235,1.1269,1.1284,1.121,-0.32%,1.1389,1.1226,0.0062,13.103316525604894,17.890975296080093
10/06/2015,1.1271,1.1193,1.1282,1.1174,0.77%,1.1391,1.1225,0.0026,28.802528311824506,1.570650693642576
10/05/2015,1.1185,1.122,1.129,1.117,-0.23%,1.1392,1.122,0.00159,47.04825842696584,0.6427442817014826
10/02/2015,1.1211,1.1196,1.1319,1.1151,0.14%,1.1394,1.1224,0.00419,16.985253332507188,0.0
10/01/2015,1.1195,1.1176,1.121,1.1134,0.16%,1.1396,1.1225,0.00259,12.968311894782653,25.06229240176685
09/30/2015,1.1177,1.1246,1.1262,1.1157,-0.64%,1.1398,1.1228,0.00079,20.841079229043423,0.005796084235473438
09/29/2015,1.1249,1.1247,1.1285,1.1196,0.03%,1.14,1.1234,0.0048,18.5440188197765,0.0
09/28/2015,1.1246,1.1195,1.125,1.1149,0.46%,1.1402,1.1232,0.0051,37.37449960045982,2.0080192329519813
09/25/2015,1.1195,1.1227,1.1231,1.1115,-0.31%,1.1403,1.1231,0.00259,26.406945540646955,6.3264601420675515
09/24/2015,1.123,1.1185,1.1296,1.1164,0.38%,1.1406,1.1235,0.00609,14.490294688717322,0.0
09/23/2015,1.1187,1.112,1.1214,1.1105,0.60%,1.1407,1.1235,0.00179,12.199153435894077,6.903307605044726
09/22/2015,1.112,1.1188,1.1209,1.1114,-0.62%,1.141,1.124,0.00491,21.98504108780704,0.0
09/21/2015,1.1189,1.1284,1.1332,1.1183,-1.03%,1.1412,1.1253,0.00199,24.025295444523508,0.0
09/18/2015,1.1305,1.1435,1.146,1.1267,-1.15%,1.1415,1.126,0.0008,16.422245429605514,16.620851511169498
09/17/2015,1.1437,1.129,1.1442,1.1284,1.30%,1.1416,1.1255,0.00136,22.001851851852095,0.0
09/16/2015,1.129,1.1267,1.1321,1.1212,0.20%,1.1416,1.1236,0.0007,8.909871312989944,9.200805886474997
09/15/2015,1.1267,1.1313,1.1328,1.1258,-0.48%,1.1417,1.123,0.003,15.284357487427771,0.0
09/14/2015,1.1321,1.1338,1.1375,1.1285,-0.17%,1.1418,1.1226,0.0024,12.89172797337533,21.88631830031251
09/11/2015,1.134,1.1279,1.1349,1.1254,0.53%,1.1419,1.1216,0.0043,17.359590740578646,0.0
09/10/2015,1.128,1.1209,1.1299,1.1174,0.65%,1.142,1.1203,0.0017,43.49826310910071,0.0
09/09/2015,1.1207,1.1202,1.1219,1.1133,0.06%,1.1422,1.1195,0.00379,12.354246191559922,0.0
09/08/2015,1.12,1.117,1.1229,1.1152,0.29%,1.1424,1.1193,0.00309,16.016243163931236,0.0
09/07/2015,1.1168,1.1157,1.1178,1.112,0.19%,1.1426,1.1193,0.00011,14.845224035057225,0.0
09/04/2015,1.1147,1.1124,1.1181,1.1089,0.21%,1.1429,1.1195,0.00221,20.458714314606755,46.134158719048436
09/03/2015,1.1124,1.1227,1.1246,1.1088,-0.92%,1.1431,1.12,0.00451,11.98055060038878,0.0
09/02/2015,1.1227,1.1311,1.1319,1.1214,-0.81%,1.1434,1.1209,0.00579,14.277196329531103,13.882071016267133
09/01/2015,1.1319,1.1211,1.1333,1.1206,0.94%,1.1437,1.1207,0.0022,20.403706929601366,0.0
08/31/2015,1.1214,1.1176,1.1265,1.1162,0.31%,1.1438,1.1195,0.00449,26.06609547123619,12.170548770948594
08/28/2015,1.1179,1.1247,1.131,1.1156,-0.59%,1.144,1.1193,0.00099,23.86443833439308,0.0
08/27/2015,1.1245,1.1314,1.1366,1.1204,-0.62%,1.1443,1.1194,0.0052,32.64614931981688,0.0
08/26/2015,1.1315,1.1515,1.1561,1.129,-1.75%,1.1445,1.1189,0.0018,47.28846043072354,0.0
08/25/2015,1.1517,1.1619,1.1625,1.1399,-0.89%,1.1446,1.1176,0.00664,47.66120528062418,64.75957890931939
08/24/2015,1.162,1.1363,1.1713,1.1363,2.03%,1.1445,1.114,1e-05,18.05416110314581,0.0
08/21/2015,1.1389,1.1244,1.1393,1.1229,1.31%,1.1443,1.1089,0.00616,15.4102810898913,0.0
08/20/2015,1.1242,1.1117,1.1246,1.1105,1.11%,1.1444,1.1057,0.0055,13.926433414889436,0.0
08/19/2015,1.1119,1.1023,1.1137,1.1019,0.89%,1.1446,1.1038,0.00501,9.36245325878018,4.005216159939382
08/18/2015,1.1021,1.1083,1.1096,1.1018,-0.54%,1.1449,1.103,0.00036,10.197817197215077,0.0
08/17/2015,1.1081,1.1106,1.1125,1.1058,-0.23%,1.1454,1.103,0.00564,16.32314211727967,0.0
08/14/2015,1.1107,1.1149,1.1189,1.1096,-0.38%,1.1457,1.1025,0.00621,29.69212992057206,0.0
08/13/2015,1.1149,1.1157,1.1189,1.108,-0.07%,1.1461,1.1016,0.00201,26.664440471058946,171.06771006021776
08/12/2015,1.1157,1.104,1.1212,1.1023,1.06%,1.1464,1.1003,0.00121,23.73871375547401,0.0
08/11/2015,1.104,1.1019,1.1088,1.096,0.19%,1.1467,1.0986,0.00154,18.24563320833695,0.0
08/10/2015,1.1019,1.0969,1.1044,1.0927,0.46%,1.1471,1.0981,0.00056,30.135878199243354,0.0
08/07/2015,1.0968,1.093,1.0981,1.0857,0.39%,1.1476,1.0977,0.00566,13.205672459294252,0.0
08/06/2015,1.0925,1.0909,1.0944,1.0876,0.17%,1.1481,1.0977,0.00976,14.394291754757134,0.0
08/05/2015,1.0906,1.0883,1.0938,1.0849,0.22%,1.1487,1.0983,0.00786,16.958729845018823,20.709010185426724
08/04/2015,1.0882,1.0951,1.0989,1.0877,-0.63%,1.1492,1.0991,0.00546,10.820379994478612,0.0
08/03/2015,1.0951,1.097,1.0997,1.0941,-0.34%,1.1499,1.1003,0.00736,55.619696456408164,15.340695071882983
07/31/2015,1.0988,1.0934,1.1114,1.0921,0.50%,1.1504,1.1008,0.00366,16.270891185969273,5.4023470097358155
07/30/2015,1.0933,1.0987,1.0992,1.0894,-0.48%,1.1509,1.101,0.00916,15.072747415066406,0.0
07/29/2015,1.0986,1.1061,1.1086,1.0967,-0.66%,1.1515,1.1018,0.00386,14.853071562971829,0.0
07/28/2015,1.1059,1.1089,1.1101,1.1022,-0.32%,1.152,1.1022,0.00344,20.65412186379938,47.97916666666848
07/27/2015,1.1094,1.0974,1.113,1.097,1.00%,1.1525,1.1018,0.00694,35.9946458010564,0.0
07/24/2015,1.0984,1.0983,1.0997,1.0926,0.01%,1.1529,1.101,0.00406,15.432617533262666,0.0
