Date,Price,Open,High,Low,Change %,200EMA,20EMA,toZone,kt_score,bs_score
09/21/2011,1.3566,1.3702,1.379,1.3558,-1.02%,1.4048,1.3923,0.13484,32.0774677296887,0.7526731877261555
09/20/2011,1.3706,1.3674,1.3746,1.3594,0.15%,1.4053,1.3961,0.14884,36.634467475170005,0.0
09/19/2011,1.3685,1.3672,1.3721,1.3587,-0.83%,1.4057,1.3988,0.14674,20.0233119834761,56.90444946673031
09/16/2011,1.38,1.3886,1.3887,1.3755,-0.56%,1.406,1.4019,0.15824,31.74527783227861,20.87461477389177
09/15/2011,1.3878,1.3744,1.3939,1.3704,0.95%,1.4063,1.4042,0.16604,36.89279168113275,0.0
09/14/2011,1.3747,1.3683,1.3785,1.3591,0.47%,1.4065,1.406,0.15294,47.157544999825106,0.0
09/13/2011,1.3683,1.367,1.3741,1.3558,0.07%,1.4068,1.4093,0.14654,29.79072709695735,0.0
09/12/2011,1.3673,1.3568,1.3693,1.35,0.15%,1.4072,1.4136,0.14554,37.69698692438854,50.395273288395174
09/09/2011,1.3653,1.3883,1.3938,1.3628,-1.65%,1.4076,1.4185,0.14354,23.539820377089246,0.0
09/08/2011,1.3882,1.4094,1.4097,1.3872,-1.53%,1.408,1.4241,0.16644,23.18043506493534,5.003534452722988
09/07/2011,1.4097,1.3994,1.4148,1.3992,0.69%,1.4082,1.4278,0.18794,74.52903225806465,9.13495145631078
09/06/2011,1.4,1.4097,1.4277,1.3973,-0.65%,1.4082,1.4297,0.17824,15.570845414142521,0.0
09/05/2011,1.4092,1.4167,1.4174,1.4061,-0.80%,1.4083,1.4329,0.18744,15.064473684210673,0.0
09/02/2011,1.4205,1.426,1.4291,1.4184,-0.38%,1.4083,1.4354,0.19874,20.20553300514588,0.0
09/01/2011,1.4259,1.4375,1.4381,1.4224,-0.83%,1.4082,1.4369,0.20414,15.918791439613335,0.0
08/31/2011,1.4379,1.4436,1.447,1.436,-0.46%,1.408,1.4381,0.21614,25.286285431563503,0.0
08/30/2011,1.4446,1.4516,1.4535,1.4385,-0.44%,1.4077,1.4381,0.22284,16.031806880339957,0.24149717370790494
08/29/2011,1.451,1.4497,1.455,1.4466,0.08%,1.4073,1.4374,0.22924,23.476438305909664,0.0
08/26/2011,1.4499,1.4374,1.4503,1.4329,0.83%,1.4069,1.436,0.22814,26.109541127133763,0.8189088634587177
08/25/2011,1.438,1.4412,1.4476,1.4327,-0.23%,1.4064,1.4345,0.21624,20.012711298215834,0.0
08/24/2011,1.4413,1.4432,1.4482,1.4379,-0.17%,1.4061,1.4342,0.21954,25.12138324211942,33.691397257812596
08/23/2011,1.4438,1.4358,1.4499,1.4352,0.54%,1.4058,1.4334,0.22204,27.923087112014073,0.28116997439182645
08/22/2011,1.436,1.4375,1.4436,1.4346,-0.26%,1.4054,1.4323,0.21424,30.495397119049073,31.746775295287527
08/19/2011,1.4398,1.4329,1.4455,1.4259,0.47%,1.4051,1.4319,0.21804,27.30860525941213,12.263174625767869
08/18/2011,1.4331,1.4423,1.4451,1.427,-0.65%,1.4047,1.4311,0.21134,37.627962127144855,0.5261993122467715
08/17/2011,1.4425,1.4403,1.4519,1.4325,0.11%,1.4044,1.4309,0.22074,22.158578533400735,6.562234276688996
08/16/2011,1.4409,1.4447,1.4474,1.4354,-0.26%,1.4041,1.4297,0.21914,25.44626231672868,90.0914474152775
08/15/2011,1.4446,1.4261,1.4478,1.4261,1.38%,1.4037,1.4285,0.22284,38.59401353027843,0.0
08/12/2011,1.4249,1.424,1.4293,1.415,0.04%,1.4033,1.4268,0.20314,28.01075847532265,0.0
08/11/2011,1.4243,1.4163,1.4296,1.4103,0.49%,1.4031,1.427,0.20254,25.366497359714202,61.042547662319144
08/10/2011,1.4174,1.4395,1.4403,1.4162,-1.36%,1.4029,1.4273,0.19564,25.2156135025249,17.56313696031726
08/09/2011,1.437,1.4173,1.4381,1.4152,1.36%,1.4027,1.4283,0.21524,32.8391805105884,22.380999081177603
08/08/2011,1.4177,1.4387,1.4404,1.4131,-0.74%,1.4024,1.4274,0.19594,29.528710567598353,15.94941712166885
08/05/2011,1.4282,1.4099,1.4299,1.4056,1.23%,1.4022,1.4284,0.20644,32.718924230178,27.412713043437567
08/04/2011,1.4108,1.4332,1.4371,1.4089,-1.51%,1.4019,1.4284,0.18904,25.18765432098786,9.001785714285994
08/03/2011,1.4325,1.4183,1.4345,1.4143,0.93%,1.4019,1.4303,0.21074,19.73749816771413,3.351860252032061
08/02/2011,1.4193,1.4262,1.4284,1.415,-0.41%,1.4015,1.43,0.19754,42.06734702851601,0.0
08/01/2011,1.4251,1.4358,1.4455,1.4186,-1.01%,1.4014,1.4312,0.20334,39.805030932522726,4.322420436706073
07/29/2011,1.4396,1.4328,1.4414,1.4229,0.45%,1.4011,1.4318,0.21784,31.277941074467794,2.5933770524839814
07/28/2011,1.4331,1.4373,1.4402,1.4253,-0.24%,1.4007,1.431,0.21134,22.797905034194113,0.0
07/27/2011,1.4365,1.4514,1.4537,1.4339,-1.01%,1.4004,1.4308,0.21474,19.143172906132705,12.599342805219761
07/26/2011,1.4512,1.4375,1.4526,1.4356,0.95%,1.4001,1.4301,0.22944,21.537350680307796,0.35313327463053235
07/25/2011,1.4376,1.4398,1.4408,1.4325,0.14%,1.3995,1.4279,0.21584,15.747422548869135,0.0
07/22/2011,1.4356,1.4423,1.444,1.4325,-0.46%,1.3992,1.4269,0.21384,42.349019065634614,57.94043973955228
07/21/2011,1.4423,1.4226,1.444,1.4139,1.43%,1.3988,1.426,0.22054,13.904068840615293,0.0
07/20/2011,1.422,1.4153,1.4243,1.4133,0.45%,1.3984,1.4243,0.20024,25.904668728546774,0.0
07/19/2011,1.4156,1.4101,1.4219,1.4068,0.32%,1.3981,1.4245,0.19384,64.07583148558837,0.007271686899751881
07/18/2011,1.4111,1.4113,1.4135,1.4011,-0.30%,1.3979,1.4255,0.18934,20.485948134024046,4.050289720294281
07/15/2011,1.4153,1.4144,1.4202,1.4093,0.06%,1.3978,1.427,0.19354,38.657481717845464,21.508033258614716
07/14/2011,1.4145,1.4189,1.4284,1.4116,-0.27%,1.3976,1.4282,0.19274,29.13584617965765,98.33430816464825
07/13/2011,1.4184,1.3976,1.4212,1.3952,1.47%,1.3975,1.4296,0.19664,59.926016807421625,2.1578642149443494
07/12/2011,1.3979,1.4046,1.4065,1.3838,-0.41%,1.3973,1.4308,0.17614,31.01055249409552,0.0
07/11/2011,1.4036,1.4215,1.4228,1.3984,-1.64%,1.3972,1.4343,0.18184,26.62970297029694,0.0
07/08/2011,1.427,1.436,1.4371,1.4207,-0.63%,1.3972,1.4375,0.20524,41.43130781266985,2.0548855647803497
07/07/2011,1.4361,1.4318,1.4376,1.4221,0.30%,1.3969,1.4386,0.21434,24.705332401830766,24.665028210306264
07/06/2011,1.4318,1.4421,1.4468,1.4284,-0.73%,1.3965,1.4389,0.21004,19.06194690652469,0.0
07/05/2011,1.4423,1.4541,1.4554,1.4396,-0.81%,1.3961,1.4397,0.22054,19.365546880595573,0.0
07/04/2011,1.4541,1.4543,1.4581,1.4493,0.11%,1.3957,1.4394,0.23234,25.360897757397574,31.26343411908214
07/01/2011,1.4525,1.45,1.4554,1.4437,0.13%,1.3951,1.4378,0.23074,16.52414029460253,0.0
06/30/2011,1.4506,1.4434,1.4541,1.4426,0.48%,1.3945,1.4363,0.22884,17.5181223715011,0.0
06/29/2011,1.4436,1.4364,1.4449,1.4327,0.47%,1.3939,1.4348,0.22184,23.314500398352006,0.0
06/28/2011,1.4369,1.4284,1.4398,1.4235,0.60%,1.3934,1.4338,0.21514,36.17445920504531,0.0
06/27/2011,1.4284,1.4193,1.4296,1.4103,0.64%,1.393,1.4335,0.20664,24.29094451851124,5.538367425826036
06/24/2011,1.4193,1.4264,1.4312,1.4142,-0.46%,1.3927,1.4341,0.19754,55.86081081317681,0.0
06/23/2011,1.4259,1.4335,1.4341,1.4127,-0.66%,1.3924,1.4356,0.20414,18.606933881673232,0.0
06/22/2011,1.4354,1.4396,1.4442,1.4339,-0.37%,1.392,1.4366,0.21364,13.744592958374966,24.295074575807433
06/21/2011,1.4407,1.4306,1.4423,1.4304,0.68%,1.3916,1.4368,0.21894,34.637895424494815,0.0
06/20/2011,1.4309,1.4274,1.4329,1.4191,-0.01%,1.3911,1.4364,0.20914,35.843636930007186,0.0
06/17/2011,1.4311,1.4213,1.4342,1.4127,0.69%,1.3907,1.4369,0.20934,37.92143032853669,0.0
06/16/2011,1.4213,1.4164,1.4221,1.4074,0.32%,1.3903,1.4375,0.19954,31.461741164683076,153.18326539419775
06/15/2011,1.4168,1.4442,1.4456,1.4156,-1.89%,1.39,1.4392,0.19504,24.001270364353694,0.16098364228325301
06/14/2011,1.4441,1.442,1.4501,1.4379,0.17%,1.3897,1.4416,0.22234,12.927305974960282,0.0
06/13/2011,1.4417,1.4329,1.4432,1.432,0.48%,1.3892,1.4413,0.21994,28.27858837695231,29.81199349527549
06/10/2011,1.4348,1.451,1.4553,1.4323,-1.10%,1.3887,1.4413,0.21304,30.310864851877536,0.0
06/09/2011,1.4508,1.4577,1.4651,1.4476,-0.47%,1.3882,1.442,0.22904,14.549506127921013,0.0
06/08/2011,1.4577,1.4691,1.4695,1.4564,-0.78%,1.3876,1.4411,0.23594,15.069581761957894,11.405750936869492
06/07/2011,1.4691,1.4577,1.4698,1.4563,0.78%,1.3869,1.4393,0.24734,14.725160429735118,2.280098364015242
06/06/2011,1.4577,1.4628,1.4659,1.4556,-0.41%,1.386,1.4362,0.23594,24.17180446852623,40.11632897603391
06/03/2011,1.4637,1.4494,1.4645,1.4454,1.01%,1.3853,1.4339,0.24194,21.80042090299803,0.0
06/02/2011,1.4491,1.4322,1.4514,1.4322,1.24%,1.3845,1.4308,0.22734,27.207971226284076,3.691299018507939
06/01/2011,1.4314,1.4393,1.446,1.4307,-0.57%,1.3839,1.4289,0.20964,17.744479498931437,15.884217872624026
05/31/2011,1.4396,1.4284,1.4425,1.4284,0.81%,1.3834,1.4286,0.21784,9.560026873261886,1.0316952022966521
05/30/2011,1.428,1.4314,1.4314,1.4257,-0.31%,1.3828,1.4274,0.20624,21.070454951101265,102.87975122938687
05/27/2011,1.4324,1.4137,1.4325,1.4126,1.31%,1.3824,1.4274,0.21064,27.224396225742527,0.0
05/26/2011,1.4139,1.4085,1.4207,1.4066,0.37%,1.3819,1.4268,0.19214,34.701471184821244,0.362884166458885
05/25/2011,1.4087,1.4101,1.412,1.4013,-0.12%,1.3816,1.4282,0.18694,20.105501115308137,24.869684734058627
05/24/2011,1.4104,1.4045,1.4133,1.4,0.38%,1.3813,1.4303,0.18864,32.93725950853525,10.845101703504548
05/23/2011,1.4051,1.4131,1.4144,1.3969,-0.73%,1.381,1.4324,0.18334,26.313822733817823,0.0
05/20/2011,1.4155,1.4308,1.4348,1.4134,-1.11%,1.3807,1.4352,0.19374,19.086197450939864,2.7620379167334725
05/19/2011,1.4314,1.4249,1.4327,1.4205,0.48%,1.3804,1.4373,0.20964,16.98615284310007,0.0
05/18/2011,1.4246,1.4236,1.4288,1.4194,0.06%,1.3799,1.4379,0.20284,18.61174143053839,0.0
05/17/2011,1.4238,1.416,1.424,1.4118,0.59%,1.3794,1.4393,0.20204,36.62862764387643,0.0
05/16/2011,1.4154,1.4078,1.4245,1.4047,0.23%,1.379,1.441,0.19364,42.95628625815804,19.57852982710567
05/13/2011,1.4121,1.4243,1.4342,1.4067,-0.86%,1.3786,1.4436,0.19034,32.91812072600949,1.1838641244502002
05/12/2011,1.4243,1.4205,1.4278,1.4123,0.32%,1.3783,1.447,0.20254,28.08430713655629,114.90830007981593
05/11/2011,1.4197,1.4406,1.4425,1.4172,-1.46%,1.3778,1.4493,0.19794,34.95440723986185,1.3956203669812979
05/10/2011,1.4407,1.4353,1.4414,1.4268,0.30%,1.3774,1.4525,0.21894,44.75872906760628,0.04627612947639209
05/09/2011,1.4364,1.4369,1.4443,1.4255,0.38%,1.3768,1.4537,0.21464,33.63340507190922,0.0
05/06/2011,1.431,1.4543,1.459,1.431,-1.59%,1.3762,1.4555,0.20924,48.206418442040736,0.0
05/05/2011,1.4541,1.4829,1.4903,1.4512,-1.91%,1.3756,1.4581,0.23234,57.3749466899299,0.0003474241543083445
05/04/2011,1.4824,1.4823,1.4942,1.4776,-0.03%,1.3748,1.4585,0.26064,26.854241222965502,0.0
05/03/2011,1.4828,1.482,1.4892,1.4753,0.01%,1.3738,1.456,0.26104,31.481022983695013,0.0
05/02/2011,1.4827,1.4826,1.4905,1.4763,0.17%,1.3727,1.4532,0.26094,23.982862242296907,67.5409047861919
04/29/2011,1.4802,1.4828,1.4881,1.4802,-0.15%,1.3715,1.4501,0.25844,23.611862260961882,6.4700987128075615
04/28/2011,1.4824,1.4783,1.4883,1.4769,0.32%,1.3705,1.4469,0.26064,18.532724175672094,0.0
04/27/2011,1.4777,1.4646,1.4796,1.4632,0.91%,1.3693,1.4432,0.25594,34.4726707076606,0.0
04/26/2011,1.4644,1.4579,1.4659,1.4493,0.43%,1.3682,1.4396,0.24264,19.329382054024627,0.0
04/25/2011,1.4581,1.456,1.4629,1.4524,0.17%,1.3673,1.4369,0.23634,13.625807764588842,0.0
04/22/2011,1.4556,1.4552,1.4589,1.4533,0.03%,1.3664,1.4347,0.23384,44.37908311377805,0.0
04/21/2011,1.4552,1.452,1.465,1.4504,0.23%,1.3655,1.4325,0.23344,25.289538308008098,0.0
04/20/2011,1.4518,1.4337,1.4546,1.4325,1.26%,1.3646,1.4301,0.23004,17.319107318008,0.0
04/19/2011,1.4337,1.4224,1.4354,1.4204,0.72%,1.3637,1.4278,0.21194,37.37289742081545,30.27206370487395
04/18/2011,1.4234,1.4419,1.4422,1.4157,-1.37%,1.363,1.4272,0.20164,17.64109562240162,0.0
04/15/2011,1.4432,1.4488,1.4507,1.4392,-0.39%,1.3624,1.4276,0.22144,31.230327657075865,4.116701618991895
04/14/2011,1.4489,1.4441,1.4516,1.4363,0.33%,1.3616,1.426,0.22714,18.321215236975938,2.6982153349001115
04/13/2011,1.4441,1.4477,1.4521,1.4411,-0.25%,1.3607,1.4236,0.22234,23.907848233195566,5.62872051150123
04/12/2011,1.4477,1.4432,1.452,1.4375,0.29%,1.3598,1.4214,0.22594,12.125294657799058,0.8017502573908126
04/11/2011,1.4435,1.4454,1.4484,1.4417,-0.32%,1.359,1.4187,0.22174,21.191029854446175,164.9986720111535
04/08/2011,1.4481,1.4304,1.4491,1.4292,1.24%,1.3581,1.416,0.22634,25.276263056580895,0.5425780533372615
04/07/2011,1.4304,1.4335,1.4346,1.4243,-0.20%,1.3572,1.4127,0.20864,16.25290327334267,43.42883926109629
04/06/2011,1.4333,1.4217,1.4351,1.4209,0.77%,1.3565,1.4108,0.21154,32.933697014374005,0.0
04/05/2011,1.4223,1.422,1.4248,1.4152,0.01%,1.3557,1.4084,0.20054,19.002683115733166,0.5330579528416238
04/04/2011,1.4222,1.4226,1.4272,1.4194,-0.06%,1.355,1.407,0.20044,46.77205305674718,81.26096678963283
04/01/2011,1.4231,1.4174,1.4248,1.4062,0.45%,1.3544,1.4054,0.20134,27.155769037880347,0.0
03/31/2011,1.4167,1.4129,1.4234,1.4114,0.28%,1.3537,1.4035,0.19494,26.149626127567945,0.0
03/30/2011,1.4127,1.4112,1.4148,1.4051,0.11%,1.353,1.4021,0.19094,16.89250554323724,0.0
03/29/2011,1.4111,1.4081,1.4151,1.4047,0.18%,1.3524,1.401,0.18934,14.172171182854191,0.0
03/28/2011,1.4085,1.4046,1.4116,1.402,0.01%,1.3518,1.4,0.18674,17.75745850770421,19.400513844787763
03/25/2011,1.4084,1.4171,1.4196,1.4055,-0.64%,1.3513,1.3991,0.18664,23.847471132935052,8.113945957532588
03/24/2011,1.4175,1.4091,1.4223,1.4051,0.65%,1.3507,1.3981,0.19574,16.092489079736474,15.735888269574147
03/23/2011,1.4083,1.4198,1.4217,1.4078,-0.84%,1.35,1.396,0.18654,12.55094106280227,0.0
03/22/2011,1.4202,1.4219,1.4249,1.4173,-0.18%,1.3494,1.3947,0.19844,17.990683743936277,11.91794392278987
03/21/2011,1.4227,1.4182,1.4241,1.4138,0.34%,1.3487,1.3921,0.20094,24.97530885951201,0.0
03/18/2011,1.4179,1.4017,1.4187,1.3981,1.12%,1.348,1.3888,0.19614,23.04325238700825,0.0
03/17/2011,1.4022,1.3906,1.4053,1.3869,0.86%,1.3473,1.3858,0.18044,18.967028782593143,7.776707629818879
03/16/2011,1.3903,1.3998,1.4002,1.3865,-0.66%,1.3467,1.384,0.16854,94.8429769340171,0.10529442340533982
03/15/2011,1.3996,1.3986,1.4013,1.3853,0.04%,1.3463,1.3834,0.17784,24.889728125685064,0.0
03/14/2011,1.399,1.3962,1.4003,1.3902,0.58%,1.3458,1.3817,0.17724,22.80338227404264,0.0
03/11/2011,1.391,1.3798,1.3916,1.3752,0.84%,1.3452,1.3798,0.16924,17.63139690343736,11.1966696402023
03/10/2011,1.3794,1.3906,1.3927,1.3775,-0.82%,1.3448,1.3787,0.15764,20.316297533519943,0.014289963457122587
03/09/2011,1.3908,1.3904,1.3943,1.3854,0.03%,1.3444,1.3786,0.16904,19.660292241065655,115.56560547457109
03/08/2011,1.3904,1.3972,1.3994,1.3861,-0.49%,1.344,1.3773,0.16864,16.802837527056198,0.0
03/07/2011,1.3973,1.3996,1.4038,1.3952,-0.09%,1.3435,1.3759,0.17554,11.95655686367103,1.2570828950988533
03/04/2011,1.3985,1.3968,1.4009,1.3939,0.14%,1.3429,1.3737,0.17674,18.762643645054386,0.0
03/03/2011,1.3966,1.3868,1.3974,1.3833,0.74%,1.3424,1.3711,0.17484,18.9637354149674,0.0
03/02/2011,1.3864,1.3775,1.3889,1.3742,0.64%,1.3418,1.3684,0.16464,21.088833347268647,0.8188569438002046
03/01/2011,1.3776,1.3803,1.3855,1.3762,-0.19%,1.3414,1.3665,0.15584,23.162656147697323,7.50223646936053
02/28/2011,1.3802,1.3757,1.3856,1.371,0.37%,1.341,1.3653,0.15844,17.935981705194994,4.700819620515064
02/25/2011,1.3751,1.3797,1.3838,1.3722,-0.38%,1.3406,1.3638,0.15334,19.140768857026384,7.064624048933505
02/24/2011,1.3804,1.3747,1.3821,1.3702,0.41%,1.3403,1.3626,0.15864,19.958398260179646,0.0
02/23/2011,1.3747,1.3659,1.3788,1.3646,0.68%,1.3399,1.3607,0.15294,64.10113038286312,0.6009569065533803
02/22/2011,1.3654,1.3677,1.3704,1.3525,-0.17%,1.3395,1.3592,0.14364,12.689989690537978,0.0
02/21/2011,1.3677,1.3703,1.3719,1.3646,-0.15%,1.3393,1.3586,0.14594,26.519700487109098,29.79128706729457
02/18/2011,1.3697,1.3609,1.3718,1.3548,0.70%,1.339,1.3576,0.14794,14.22626357212644,0.0
02/17/2011,1.3602,1.3568,1.362,1.3534,0.25%,1.3387,1.3563,0.13844,16.41021828886284,0.0
02/16/2011,1.3568,1.3488,1.3591,1.3461,0.58%,1.3385,1.3559,0.13504,28.4989668261296,0.0
02/15/2011,1.349,1.3488,1.3553,1.3459,0.03%,1.3383,1.3558,0.12724,23.27673914667878,28.797848016142034
02/14/2011,1.3486,1.351,1.3562,1.3429,-0.46%,1.3382,1.3565,0.12684,21.169581826333516,0.0
02/11/2011,1.3549,1.3599,1.3624,1.3498,-0.34%,1.3381,1.3574,0.13314,18.030863606269605,0.0
02/10/2011,1.3595,1.3729,1.3737,1.3577,-0.99%,1.3379,1.3576,0.13774,15.872372374617006,8.386328094931438
02/09/2011,1.3731,1.3625,1.3745,1.3607,0.71%,1.3377,1.3574,0.15134,22.471056456770924,0.0
02/08/2011,1.3634,1.3582,1.369,1.3571,0.34%,1.3373,1.3558,0.14164,22.157159373939663,0.0
02/07/2011,1.3588,1.3563,1.3628,1.3508,0.01%,1.3371,1.355,0.13704,20.186248525335056,11.233479021763166
02/04/2011,1.3586,1.3639,1.3679,1.3542,-0.34%,1.3368,1.3546,0.13684,24.028594404548212,0.0
02/03/2011,1.3632,1.3813,1.3828,1.3611,-1.25%,1.3366,1.3542,0.14144,15.892032795513163,0.0
02/02/2011,1.3805,1.383,1.3863,1.3767,-0.21%,1.3364,1.3532,0.15874,17.174779885458204,88.83722508231155
02/01/2011,1.3834,1.3685,1.3845,1.3685,1.08%,1.3359,1.3504,0.16164,25.06180280925343,0.0
01/31/2011,1.3686,1.3599,1.374,1.3568,0.54%,1.3354,1.3469,0.14684,20.723451507306265,16.54800576348056
01/28/2011,1.3613,1.3733,1.3746,1.358,-0.83%,1.3351,1.3446,0.13954,30.75891004419194,0.24088744912991253
01/27/2011,1.3727,1.371,1.376,1.3636,0.21%,1.3348,1.3428,0.15094,17.781773382612254,0.0
01/26/2011,1.3698,1.3686,1.3722,1.3642,0.06%,1.3345,1.3397,0.14804,26.809548576813174,0.0
01/25/2011,1.369,1.3638,1.3704,1.3571,0.34%,1.3341,1.3365,0.14724,45.928693042316574,0.0
01/24/2011,1.3643,1.3638,1.3687,1.3537,0.18%,1.3338,1.3331,0.14254,21.278161458424517,0.0
01/21/2011,1.3618,1.3475,1.3629,1.3448,1.04%,1.3335,1.3298,0.14004,34.676549493813,0.0
01/20/2011,1.3478,1.3476,1.3524,1.3395,0.07%,1.3332,1.3265,0.12604,29.57956195619595,0.0
01/19/2011,1.3469,1.3389,1.3541,1.3369,0.66%,1.333,1.3242,0.12514,35.83064516129021,0.0
01/18/2011,1.3381,1.3292,1.3467,1.3252,0.65%,1.3329,1.3218,0.11634,21.829006005899043,8.899332282992104
01/17/2011,1.3294,1.3383,1.3389,1.3245,-0.62%,1.3328,1.3201,0.10764,32.85402735312976,0.22020819563775396
01/14/2011,1.3377,1.3363,1.3458,1.3313,0.17%,1.3329,1.3191,0.11594,34.594359931683705,0.0
01/13/2011,1.3354,1.3129,1.3384,1.3087,1.65%,1.3328,1.3172,0.11364,19.66954022988488,0.0
01/12/2011,1.3137,1.2972,1.3146,1.2961,1.23%,1.3328,1.3152,0.09194,17.99729891956762,0.0
01/11/2011,1.2978,1.295,1.2995,1.2905,0.26%,1.333,1.3154,0.07604,12.35849501661112,0.0
01/10/2011,1.2944,1.2883,1.2967,1.2874,0.19%,1.3333,1.3173,0.07264,13.831421012798122,12.12822763192015
01/07/2011,1.2919,1.3005,1.3023,1.2906,-0.63%,1.3337,1.3197,0.07014,20.520059765021344,0.0
01/06/2011,1.3001,1.3146,1.3171,1.2995,-1.15%,1.3341,1.3226,0.07834,23.579055395748465,0.0
01/05/2011,1.3152,1.3304,1.3325,1.3123,-1.14%,1.3345,1.325,0.09344,31.385299989374083,0.0
01/04/2011,1.3304,1.3358,1.3436,1.3291,-0.37%,1.3347,1.326,0.10864,43.50204081632706,0.06666666666665111
01/03/2011,1.3354,1.3348,1.3397,1.3251,-0.19%,1.3347,1.3255,0.11364,21.599999999999785,0.0
12/31/2010,1.3379,1.329,1.3427,1.3283,0.72%,1.3347,1.3245,0.11614,15.233802816901077,0.0
12/30/2010,1.3283,1.3225,1.3316,1.3212,0.45%,1.3347,1.3231,0.10654,20.03983739837414,0.0
12/29/2010,1.3224,1.3116,1.3239,1.3082,0.79%,1.3347,1.3225,0.10064,46.51946973102612,1.9595528472204489
12/28/2010,1.312,1.3166,1.3277,1.3094,-0.31%,1.3349,1.3225,0.09024,17.49916352749866,4.599310809798424
12/27/2010,1.3161,1.3115,1.3171,1.3072,0.33%,1.3351,1.3236,0.09434,13.636825119759141,0.0
12/24/2010,1.3118,1.3117,1.3151,1.3095,-0.02%,1.3353,1.3244,0.09004,17.23879691248573,0.0
12/23/2010,1.312,1.3096,1.3154,1.3054,0.15%,1.3355,1.3258,0.09024,46.8271833270938,0.0
12/22/2010,1.31,1.3095,1.3182,1.3076,0.03%,1.3358,1.3272,0.08824,31.206489812029755,19.222877676299483
12/21/2010,1.3096,1.3127,1.3203,1.3072,-0.19%,1.336,1.329,0.08784,13.076773084265993,0.0
12/20/2010,1.3121,1.3182,1.319,1.3095,-0.46%,1.3363,1.3311,0.09034,49.04884932911055,0.0
12/17/2010,1.3182,1.3239,1.3361,1.3133,-0.43%,1.3365,1.3331,0.09644,14.077893004114811,1.1857874390429355
12/16/2010,1.3239,1.3213,1.3268,1.318,0.20%,1.3367,1.3346,0.10214,17.90801690643409,111.16216169555976
12/15/2010,1.3213,1.3383,1.3384,1.3209,-1.28%,1.3368,1.3358,0.09954,69.52521499656687,0.0
12/14/2010,1.3384,1.3388,1.3498,1.3361,-0.05%,1.337,1.3373,0.11664,30.626315789473505,846.4000000000906
12/13/2010,1.3391,1.3207,1.3435,1.3182,1.19%,1.337,1.3372,0.11734,22.49999999999922,0.004891304347832258
12/10/2010,1.3234,1.3237,1.3283,1.3178,-0.08%,1.337,1.337,0.10164,31.997606581899806,0.0
12/09/2010,1.3245,1.3264,1.3325,1.3165,-0.11%,1.3371,1.3384,0.10274,44.20086069354132,0.0
12/08/2010,1.3259,1.3263,1.3283,1.318,-0.04%,1.3372,1.3399,0.10414,45.1874699167872,0.0
12/07/2010,1.3264,1.3304,1.3401,1.326,-0.32%,1.3373,1.3413,0.10464,27.617420780935294,0.0
12/06/2010,1.3306,1.3382,1.3422,1.3243,-0.81%,1.3375,1.3429,0.10884,26.05918367346971,49.01184210526218
12/03/2010,1.3415,1.3222,1.3418,1.3192,1.42%,1.3375,1.3442,0.11974,32.284070796460206,0.0
12/02/2010,1.3227,1.3137,1.325,1.3059,0.64%,1.3375,1.3445,0.10094,25.736606169304885,0.0
12/01/2010,1.3143,1.2985,1.3181,1.297,1.26%,1.3376,1.3468,0.09254,21.804252268536708,13.126994125128617
11/30/2010,1.298,1.3124,1.3152,1.2967,-1.07%,1.3379,1.3502,0.07624,31.465999443708657,0.0
11/29/2010,1.3121,1.3287,1.3304,1.3064,-0.92%,1.3383,1.3557,0.09034,22.845385399387133,0.0
11/26/2010,1.3243,1.3355,1.3368,1.3199,-0.90%,1.3385,1.3603,0.10254,18.544501375352116,0.8034513581301728
11/25/2010,1.3363,1.3333,1.3388,1.3287,0.23%,1.3387,1.3641,0.11454,23.614457831325417,4.083333333333315
11/24/2010,1.3332,1.3367,1.3424,1.3284,-0.31%,1.3387,1.367,0.11144,28.889367157655247,0.0
11/23/2010,1.3373,1.3619,1.3634,1.3361,-1.86%,1.3388,1.3706,0.11554,32.029496402878,0.0
11/22/2010,1.3626,1.3714,1.3786,1.3575,-0.45%,1.3388,1.3741,0.14084,19.708403239027497,1.8185892386669402
11/19/2010,1.3687,1.3647,1.3733,1.3609,0.31%,1.3385,1.3753,0.14694,17.037013945959345,0.0
11/18/2010,1.3645,1.3527,1.3668,1.3525,0.93%,1.3382,1.376,0.14274,19.118453709533707,0.0
11/17/2010,1.3519,1.3487,1.3566,1.3458,0.19%,1.338,1.3772,0.13014,30.89823788169953,27.608372571001144
11/16/2010,1.3493,1.3587,1.3655,1.3447,-0.68%,1.3378,1.3798,0.12754,23.786657198385353,0.0
11/15/2010,1.3586,1.3712,1.3752,1.3565,-0.78%,1.3377,1.383,0.13684,37.55959701005782,0.5786579309902627
11/12/2010,1.3693,1.3666,1.3779,1.3573,0.26%,1.3375,1.3856,0.14754,23.529415067709508,58.78681121495647
11/11/2010,1.3658,1.3784,1.3823,1.3637,-0.91%,1.3372,1.3873,0.14404,47.72835248367906,0.038897613587279195
11/10/2010,1.3784,1.3777,1.3828,1.3672,0.04%,1.3369,1.3896,0.15664,29.770501775397946,283.9293087419137
11/09/2010,1.3779,1.392,1.3975,1.375,-1.02%,1.3365,1.3908,0.15614,24.154178140939443,0.0
11/08/2010,1.3921,1.4051,1.4085,1.3886,-0.81%,1.3361,1.3921,0.17034,26.493332944088717,0.0
