Date,Price,Open,High,Low,200EMA
12/07/2016,1.0753,1.0721,1.077,1.0709,1.1061
12/06/2016,1.0719,1.0764,1.0787,1.0698,1.1064
12/05/2016,1.0764,1.0674,1.0798,1.0505,1.1068
12/02/2016,1.0673,1.0663,1.0692,1.0625,1.1071
12/01/2016,1.0662,1.059,1.067,1.0584,1.1075
11/30/2016,1.0588,1.0649,1.0669,1.0554,1.1079
11/29/2016,1.065,1.0615,1.0657,1.0565,1.1084
11/28/2016,1.0615,1.0595,1.0686,1.0563,1.1088
11/25/2016,1.0587,1.0551,1.0631,1.0538,1.1093
11/24/2016,1.0554,1.0554,1.0587,1.0517,1.1098
11/23/2016,1.056,1.0629,1.0646,1.0526,1.1104
11/22/2016,1.0626,1.0627,1.066,1.0583,1.1109
11/21/2016,1.0629,1.0583,1.0652,1.0579,1.1114
11/18/2016,1.0588,1.0625,1.0645,1.057,1.1119
11/17/2016,1.0626,1.069,1.0746,1.0617,1.1124
11/16/2016,1.069,1.0724,1.0764,1.0667,1.1129
11/15/2016,1.0722,1.0736,1.0817,1.0711,1.1134
11/14/2016,1.0737,1.085,1.0852,1.0709,1.1138
11/11/2016,1.0856,1.0897,1.0929,1.0833,1.1142
11/10/2016,1.0893,1.0911,1.0958,1.0866,1.1145
11/09/2016,1.0909,1.1023,1.13,1.0903,1.1147
11/08/2016,1.1026,1.1042,1.107,1.1008,1.115
11/07/2016,1.104,1.1137,1.1139,1.1029,1.1151
11/04/2016,1.1138,1.1105,1.1146,1.108,1.1152
11/03/2016,1.1105,1.1098,1.1128,1.1059,1.1152
11/02/2016,1.1097,1.1056,1.1126,1.1051,1.1153
11/01/2016,1.1056,1.0981,1.1071,1.0958,1.1153
10/31/2016,1.0981,1.0986,1.0994,1.0936,1.1154
10/28/2016,1.0987,1.0899,1.0995,1.0893,1.1156
10/27/2016,1.0897,1.0909,1.0945,1.0884,1.1158
10/26/2016,1.0909,1.0889,1.0947,1.0872,1.116
10/25/2016,1.0888,1.0882,1.0906,1.085,1.1163
10/24/2016,1.0883,1.0879,1.0903,1.0861,1.1165
10/21/2016,1.0884,1.0929,1.0933,1.0859,1.1168
10/20/2016,1.093,1.0974,1.1041,1.0916,1.1171
10/19/2016,1.0974,1.0981,1.1006,1.0955,1.1174
10/18/2016,1.0981,1.1,1.1029,1.097,1.1176
10/17/2016,1.0999,1.0975,1.1011,1.0965,1.1178
10/14/2016,1.0971,1.1056,1.1062,1.0968,1.1179
10/13/2016,1.1056,1.1004,1.1058,1.0983,1.1181
10/12/2016,1.1008,1.1053,1.1072,1.1003,1.1183
10/11/2016,1.1054,1.1136,1.1144,1.1047,1.1184
10/10/2016,1.1138,1.1196,1.1202,1.1128,1.1186
10/07/2016,1.1201,1.1151,1.1207,1.1103,1.1186
10/06/2016,1.1151,1.1205,1.1214,1.1139,1.1186
10/05/2016,1.1206,1.1206,1.1237,1.1191,1.1186
10/04/2016,1.1204,1.121,1.124,1.1138,1.1186
10/03/2016,1.1211,1.1235,1.1245,1.1205,1.1186
9/30/2016,1.1241,1.1225,1.1253,1.1153,1.1186
9/29/2016,1.1223,1.1217,1.1251,1.1197,1.1185
9/28/2016,1.1216,1.1214,1.1238,1.1181,1.1185
9/27/2016,1.1215,1.1253,1.1262,1.119,1.1185
9/26/2016,1.1254,1.1221,1.1279,1.122,1.1184
9/23/2016,1.1226,1.1209,1.1244,1.1195,1.1184
9/22/2016,1.1208,1.1193,1.1258,1.1181,1.1183
9/21/2016,1.1189,1.1152,1.12,1.1123,1.1183
9/20/2016,1.1155,1.1178,1.1216,1.1147,1.1183
9/19/2016,1.1174,1.1161,1.1198,1.1147,1.1183
9/16/2016,1.1155,1.1244,1.1256,1.1147,1.1183
9/15/2016,1.1244,1.1249,1.1286,1.122,1.1183
9/14/2016,1.125,1.1216,1.1274,1.1208,1.1183
9/13/2016,1.122,1.1236,1.1262,1.1203,1.1182
09/12/2016,1.1234,1.1232,1.1269,1.1211,1.1182
09/09/2016,1.1233,1.1262,1.1288,1.12,1.1181
09/08/2016,1.1261,1.124,1.1329,1.1234,1.1181
09/07/2016,1.1239,1.1255,1.1271,1.1228,1.118
09/06/2016,1.1256,1.1147,1.1267,1.114,1.1179
09/05/2016,1.1147,1.1153,1.1185,1.114,1.1179
09/02/2016,1.1156,1.1197,1.1254,1.1151,1.1179
09/01/2016,1.1198,1.1157,1.1207,1.1128,1.1179
8/31/2016,1.1158,1.1143,1.1167,1.1123,1.1179
8/30/2016,1.1143,1.1189,1.1198,1.113,1.1179
8/29/2016,1.1189,1.1192,1.1208,1.1157,1.118
8/26/2016,1.1198,1.1284,1.1343,1.118,1.1179
8/25/2016,1.1283,1.1266,1.1301,1.1258,1.1179
8/24/2016,1.1263,1.1305,1.1315,1.1244,1.1178
8/23/2016,1.1306,1.1321,1.1357,1.1302,1.1177
8/22/2016,1.1319,1.1306,1.1334,1.1273,1.1176
8/19/2016,1.1326,1.1351,1.1363,1.1303,1.1175
8/18/2016,1.1354,1.1293,1.1367,1.1283,1.1173
8/17/2016,1.1288,1.1279,1.1317,1.1241,1.1171
8/16/2016,1.1278,1.1182,1.1324,1.1175,1.117
8/15/2016,1.1184,1.1162,1.1203,1.1153,1.1169
08/12/2016,1.1161,1.1139,1.1224,1.113,1.1169
08/11/2016,1.1137,1.1175,1.1194,1.1133,1.1169
08/10/2016,1.1176,1.1117,1.1193,1.1103,1.1169
08/09/2016,1.1119,1.109,1.1125,1.107,1.1169
08/08/2016,1.1092,1.1088,1.1107,1.1073,1.117
08/05/2016,1.1086,1.1128,1.1162,1.1044,1.1171
08/04/2016,1.113,1.1149,1.1158,1.1114,1.1171
08/03/2016,1.1149,1.1224,1.1233,1.1139,1.1172
08/02/2016,1.1227,1.1162,1.1235,1.1155,1.1172
08/01/2016,1.1162,1.1177,1.1187,1.1157,1.1171
7/29/2016,1.1174,1.1079,1.12,1.1071,1.1172
7/28/2016,1.1075,1.1058,1.1119,1.1048,1.1172
7/27/2016,1.1058,1.0986,1.1068,1.0963,1.1172
7/26/2016,1.0987,1.0997,1.1031,1.0978,1.1174
7/25/2016,1.0994,1.0972,1.1002,1.0954,1.1176
7/22/2016,1.0976,1.103,1.1043,1.0954,1.1177
7/21/2016,1.1025,1.1013,1.106,1.0981,1.1179
7/20/2016,1.1015,1.102,1.1032,1.0981,1.1181
7/19/2016,1.1022,1.1073,1.1086,1.0999,1.1183
7/18/2016,1.1074,1.1043,1.1086,1.1038,1.1184
7/15/2016,1.1036,1.1118,1.115,1.1023,1.1185
7/14/2016,1.112,1.1089,1.1166,1.1085,1.1187
7/13/2016,1.109,1.1061,1.1121,1.1043,1.1187
07/12/2016,1.1059,1.1058,1.1128,1.1051,1.1188
07/11/2016,1.1058,1.1052,1.1076,1.1016,1.119
07/08/2016,1.1054,1.1063,1.1115,1.1002,1.1191
07/07/2016,1.1063,1.1101,1.1113,1.1053,1.1192
07/06/2016,1.1099,1.1075,1.1111,1.1029,1.1194
07/05/2016,1.1076,1.1154,1.1184,1.1059,1.1195
07/04/2016,1.1156,1.1142,1.1166,1.1097,1.1196
07/01/2016,1.1136,1.1104,1.1169,1.107,1.1196
6/30/2016,1.1105,1.1124,1.1157,1.1023,1.1197
6/29/2016,1.1125,1.1065,1.1131,1.1048,1.1198
6/28/2016,1.1067,1.1025,1.1111,1.1008,1.1199
6/27/2016,1.1026,1.1072,1.1087,1.0972,1.12
6/24/2016,1.1117,1.1392,1.1434,1.0911,1.1202
