Date,Price,Open,High,Low,200EMA
1/26/2023,0.948558653,0.948199354,0.945546161,0.949264201,0.929002787
1/25/2023,0.948131479,0.943429252,0.943695077,0.944850077,0.928806245
1/24/2023,0.943005399,0.946561856,0.944335837,0.943426165,0.928612022
1/23/2023,0.946209199,0.948412941,0.946827681,0.947697899,0.928467365
1/20/2023,0.94763311,0.947487398,0.943695077,0.948552246,0.928289055
1/19/2023,0.947348328,0.944639576,0.943196708,0.946985943,0.928094642
1/18/2023,0.944286919,0.940296647,0.945902139,0.942856601,0.927901138
1/17/2023,0.940157577,0.933960242,0.936219543,0.936804979,0.927736457
1/16/2023,0.933251608,0.935028176,0.935507588,0.936876174,0.927611621
1/13/2023,0.935743452,0.934601002,0.93258857,0.935381067,0.927554938
01/12/2023,0.933892368,0.930044487,0.932517374,0.930966943,0.927472641
01/11/2023,0.929763025,0.930685247,0.927604881,0.931821289,0.927408122
01/10/2023,0.930688568,0.933177091,0.928957596,0.932533245,0.927384454
01/09/2023,0.932682043,0.926342318,0.929883138,0.930966943,0.927351247
01/06/2023,0.926203247,0.913527117,0.921980432,0.91338164,0.927297671
01/05/2023,0.912960874,0.9234233,0.920414129,0.915731093,0.92730867
01/04/2023,0.923426621,0.917371677,0.921126085,0.921497934,0.927452869
01/03/2023,0.917232607,0.922924931,0.920912498,0.917582178,0.927493334
01/02/2023,0.922857056,0.9266271,0.921909236,0.927193578,0.927596457
12/30/2022,0.926559225,0.924206451,0.922549996,0.925484885,0.927644089
12/29/2022,0.923355425,0.920789064,0.920485325,0.925698472,0.927654992
12/28/2022,0.920578798,0.921572215,0.923760321,0.924844125,0.927698204
12/27/2022,0.921148363,0.924135255,0.922905974,0.924844125,0.927769756
12/26/2022,0.92392499,0.92278254,0.920698912,0.927905534,0.927836303
12/23/2022,0.923782598,0.92278254,0.921339672,0.926054449,0.927875612
12/22/2022,0.922714665,0.925203189,0.925397818,0.924203365,0.927916748
12/21/2022,0.925562487,0.932678722,0.928601618,0.928617489,0.92796903
12/20/2022,0.932539652,0.930756442,0.930737485,0.930753356,0.927993217
12/19/2022,0.930047808,0.930329269,0.932090201,0.933245201,0.927947524
12/16/2022,0.929620634,0.932322745,0.930808681,0.933245201,0.927926415
12/15/2022,0.932183674,0.949979243,0.945617357,0.935808241,0.927909388
12/14/2022,0.949626586,0.945209141,0.94668529,0.949050614,0.92786643
12/13/2022,0.944856484,0.939157518,0.946471703,0.942358232,0.927647735
12/12/2022,0.938876057,0.937377629,0.936148348,0.939723996,0.927474783
12/09/2022,0.937808123,0.936309696,0.937857041,0.939439214,0.927360198
12/08/2022,0.936241821,0.934031438,0.932517374,0.935737045,0.927255193
12/07/2022,0.933821172,0.929332531,0.931591832,0.932248463,0.927164875
12/06/2022,0.929407048,0.932821113,0.934012481,0.93374357,0.927097978
12/05/2022,0.933038021,0.938587954,0.939423343,0.936235414,0.927074771
12/02/2022,0.940086381,0.937733607,0.936219543,0.934313134,0.927014839
12/01/2022,0.937665732,0.923636887,0.937002694,0.928546294,0.926883467
11/30/2022,0.923640207,0.916161353,0.921126085,0.917582178,0.926775102
11/29/2022,0.916307065,0.91637494,0.919488587,0.920785978,0.926806609
11/28/2022,0.916663043,0.925203189,0.923261952,0.92043,0.926912132
11/25/2022,0.926274443,0.927623838,0.923973907,0.928831076,0.927015138
11/24/2022,0.927484767,0.923494495,0.925824992,0.92811912,0.927022582
11/23/2022,0.923355425,0.911462446,0.920627716,0.915588702,0.927017937
11/22/2022,0.911323376,0.907190713,0.907954907,0.911744142,0.927054746
11/21/2022,0.906909251,0.911747228,0.907883711,0.90889632,0.92721285
11/18/2022,0.911394571,0.909896144,0.911372294,0.914520769,0.927416907
11/17/2022,0.909828269,0.913527117,0.911870662,0.907828387,0.927577935
11/16/2022,0.913103265,0.910109731,0.910802729,0.91274088,0.927756324
11/15/2022,0.909543487,0.901922241,0.91671196,0.906190889,0.927903591
11/14/2022,0.901996758,0.905766802,0.902686435,0.904055022,0.928088114
11/11/2022,0.907905989,0.899430397,0.90453752,0.899569702,0.928350339
11/10/2022,0.899220131,0.873942387,0.895780466,0.878567012,0.92855581
11/09/2022,0.873803317,0.887113566,0.884033199,0.877285492,0.928850641
11/08/2022,0.886618517,0.884977699,0.886382653,0.884120266,0.92940388
11/07/2022,0.884838628,0.870097827,0.88225331,0.874152888,0.929833884
11/04/2022,0.875156033,0.86027284,0.870862021,0.864114314,0.930286097
11/03/2022,0.860204966,0.876647819,0.873709844,0.864256705,0.930840168
11/02/2022,0.87615277,0.883055419,0.883890808,0.881130052,0.93155007
11/01/2022,0.882845153,0.881987485,0.883962004,0.884618635,0.932106827
10/31/2022,0.881848415,0.891812472,0.887379391,0.886184937,0.932601919
10/28/2022,0.891886989,0.888537477,0.888020151,0.889388737,0.933112004
10/27/2022,0.888611993,0.892453232,0.889657648,0.892663733,0.933526326
10/26/2022,0.893097313,0.882343463,0.88915928,0.884191461,0.933977726
10/25/2022,0.881706024,0.868460329,0.879263097,0.872800172,0.934388585
10/24/2022,0.868036477,0.873942387,0.872784301,0.87187463,0.934918058
10/21/2022,0.869958757,0.865754898,0.866091919,0.85777791,0.935590235
10/20/2022,0.865046263,0.864330987,0.867587026,0.865751812,0.936249847
10/19/2022,0.863693548,0.871236956,0.869153328,0.866677354,0.936965461
10/18/2022,0.871097886,0.873728801,0.872855497,0.871732239,0.937701862
10/17/2022,0.87358973,0.861055991,0.874991364,0.866178985,0.938371249
10/14/2022,0.860560943,0.871948912,0.869651697,0.864327901,0.93902232
10/13/2022,0.871881037,0.856001107,0.87071963,0.857564323,0.939810876
10/12/2022,0.855790841,0.84617612,0.853205523,0.848166509,0.940493588
10/11/2022,0.845823463,0.85258372,0.856480519,0.850159985,0.941344872
10/10/2022,0.852373454,0.854434805,0.851639221,0.854930087,0.942304886
10/07/2022,0.854438125,0.860059254,0.859755514,0.857493127,0.94320872
10/06/2022,0.859706597,0.871806521,0.871004412,0.861693665,0.944100886
10/05/2022,0.87166745,0.882343463,0.878907119,0.869667568,0.94494907
10/04/2022,0.882133197,0.871592934,0.878479946,0.873512128,0.945685569
10/03/2022,0.871382668,0.859916863,0.86751583,0.859628994,0.946324286
9/30/2022,0.859848988,0.856641867,0.860396274,0.855214869,0.947077468
9/29/2022,0.856645188,0.840338084,0.852208785,0.836561633,0.947954137
9/28/2022,0.840483796,0.829445164,0.837684891,0.82075622,0.948871814
9/27/2022,0.829306094,0.826383755,0.832202833,0.828872513,0.949961141
9/26/2022,0.825959902,0.838344609,0.83882402,0.809720908,0.951173755
9/23/2022,0.838205538,0.86668044,0.863172901,0.842043691,0.952432185
9/22/2022,0.866754957,0.867605983,0.869651697,0.86867083,0.953580192
9/21/2022,0.867395717,0.875223907,0.871075608,0.870450719,0.954452807
9/20/2022,0.875440815,0.87935325,0.87648647,0.87892299,0.955327753
9/19/2022,0.879000593,0.878142925,0.87520495,0.878780599,0.956130637
9/16/2022,0.877790268,0.881702703,0.877910381,0.878495817,0.956905813
9/15/2022,0.881421242,0.887255957,0.882822875,0.886327328,0.957700944
9/14/2022,0.886547322,0.883553788,0.885670697,0.887680044,0.958467574
9/13/2022,0.883414717,0.897721704,0.896278835,0.88853439,0.959190391
09/12/2022,0.896799482,0.89088693,0.89428536,0.895938728,0.959951956
09/09/2022,0.890249491,0.884336939,0.88980004,0.888890368,0.960586654
09/08/2022,0.884055477,0.886045632,0.883677222,0.886256133,0.96129356
09/07/2022,0.885835366,0.885547263,0.882110919,0.882411572,0.962069822
09/06/2022,0.885194606,0.885262481,0.887023413,0.888676782,0.962835998
09/05/2022,0.88498102,0.885333677,0.880829399,0.885117004,0.963616313
09/02/2022,0.884553846,0.887184761,0.885599502,0.888819173,0.964406617
09/01/2022,0.887045691,0.89280921,0.888233737,0.889103955,0.965209158
8/31/2022,0.892741335,0.894660295,0.893075035,0.896152315,0.96599472
8/30/2022,0.895090789,0.899003224,0.897845138,0.897789813,0.966730935
8/29/2022,0.898792958,0.90177985,0.897275573,0.899640897,0.967450937
8/26/2022,0.90164078,0.907689082,0.907812516,0.90569252,0.968140967
8/25/2022,0.907478816,0.905553215,0.905249476,0.909323493,0.96880931
8/24/2022,0.905200558,0.908329842,0.903540782,0.907330018,0.969425697
8/23/2022,0.907621207,0.903773326,0.906103822,0.904624586,0.970071176
8/22/2022,0.9029223,0.907119517,0.903327196,0.90633328,0.970698814
8/19/2022,0.907336425,0.914666246,0.910660338,0.909893058,0.971379985
8/18/2022,0.914669567,0.923067322,0.92055652,0.919219676,0.972023639
8/17/2022,0.922999447,0.926413513,0.924970645,0.926695209,0.972600062
8/16/2022,0.926274443,0.923636887,0.923261952,0.925271298,0.97309856
