Date,Price,Open,High,Low,Vol,Change,200EMA
2023.05.04,1.1011,1.106,1.1092,1.0985,88740,-0.43,1.065607758
2023.05.03,1.1059,1.0999,1.1092,1.0999,72710,0.55,1.065251052
2023.05.02,1.0999,1.0973,1.1009,1.0941,55310,0.22,1.06484252
2023.05.01,1.0975,1.1035,1.1038,1.0963,34400,-0.41,1.064490183
2023.04.28,1.102,1.1028,1.1046,1.0962,69310,-0.06,1.064158426
2023.04.27,1.1027,1.1042,1.1064,1.0992,78360,-0.12,1.063778109
2023.04.26,1.104,1.0972,1.1096,1.0967,61830,0.62,1.063386934
2023.04.25,1.0972,1.1046,1.1068,1.0963,66630,-0.62,1.062978762
2023.04.24,1.1041,1.0991,1.1051,1.0965,62380,0.49,1.06263483
2023.04.21,1.0987,1.097,1.0994,1.0938,52680,0.18,1.062218095
2023.04.20,1.0967,1.0956,1.0991,1.0933,60870,0.12,1.061851443
2023.04.19,1.0954,1.0972,1.0984,1.0917,52080,-0.15,1.061501206
2023.04.18,1.0971,1.0924,1.0984,1.0921,61850,0.41,1.061160515
2023.04.17,1.0926,1.099,1.1,1.0908,62870,-0.67,1.060799314
2023.04.14,1.1,1.1043,1.1077,1.0972,70220,-0.4,1.060479709
2023.04.13,1.1044,1.0992,1.1069,1.0977,80320,0.5,1.06008252
2023.04.12,1.0989,1.0913,1.1001,1.0911,65050,0.72,1.059637118
2023.04.11,1.091,1.0863,1.0928,1.0857,59990,0.47,1.059242516
2023.04.10,1.0859,1.0901,1.0918,1.0831,29790,-0.35,1.058923346
2023.04.07,1.0897,1.0923,1.0926,1.0876,32280,-0.21,1.058652223
2023.04.06,1.092,1.0903,1.0939,1.0884,50120,0.16,1.058340186
2023.04.05,1.0903,1.0953,1.097,1.0891,62650,-0.45,1.058001896
2023.04.04,1.0952,1.0901,1.0974,1.0883,62680,0.52,1.057677292
2023.04.03,1.0895,1.0847,1.0918,1.0788,74640,0.52,1.057300179
2023.03.31,1.0839,1.0906,1.0927,1.0836,71770,-0.57,1.056976563
2023.03.30,1.0901,1.0844,1.0927,1.0823,85760,0.53,1.056705976
2023.03.29,1.0843,1.0844,1.0872,1.0817,80210,0,1.056370357
2023.03.28,1.0843,1.0797,1.0849,1.0795,79160,0.44,1.056089657
2023.03.27,1.0796,1.0767,1.08,1.0745,68790,0.34,1.055806136
2023.03.24,1.0759,1.0829,1.084,1.0713,70120,-0.66,1.055567002
2023.03.23,1.083,1.0856,1.0931,1.0824,73360,-0.23,1.05536265
2023.03.22,1.0855,1.0768,1.0913,1.0759,91850,0.82,1.055084888
2023.03.21,1.0767,1.0721,1.0789,1.0704,105660,0.45,1.054779208
2023.03.20,1.0719,1.0697,1.0732,1.0631,79980,0.5,1.054558899
2023.03.17,1.0666,1.0609,1.0686,1.0605,92630,0.58,1.054384617
2023.03.16,1.0605,1.0577,1.0637,1.055,123730,0.28,1.054261849
2023.03.15,1.0575,1.0733,1.0761,1.0516,119110,-1.46,1.054199154
2023.03.14,1.0732,1.0731,1.075,1.0678,106360,0.03,1.05416598
2023.03.13,1.0729,1.0647,1.0749,1.0647,135150,0.81,1.053974683
2023.03.10,1.0643,1.058,1.0702,1.0573,91430,0.6,1.053784479
2023.03.09,1.058,1.0545,1.0591,1.0538,66710,0.34,1.053678795
2023.03.08,1.0544,1.0549,1.0575,1.0524,68370,-0.03,1.053635366
2023.03.07,1.0547,1.0681,1.0695,1.0546,72600,-1.23,1.053627681
2023.03.06,1.0678,1.0619,1.0695,1.0615,71600,0.43,1.053616904
2023.03.03,1.0632,1.0598,1.0639,1.0587,69230,0.34,1.05347436
2023.03.02,1.0596,1.0668,1.0674,1.0575,70140,-0.65,1.053376615
2023.03.01,1.0665,1.0576,1.0692,1.0565,73190,0.84,1.053314069
2023.02.28,1.0576,1.0605,1.0646,1.0574,86730,-0.29,1.053181547
2023.02.27,1.0607,1.0541,1.062,1.0532,84550,0.58,1.05313714
2023.02.24,1.0546,1.0597,1.0616,1.0536,65870,-0.46,1.053061132
2023.02.23,1.0595,1.0603,1.0628,1.0576,67060,-0.06,1.053045666
2023.02.22,1.0601,1.0648,1.0664,1.0598,74530,-0.42,1.052980798
2023.02.21,1.0646,1.0686,1.0698,1.0637,72420,-0.34,1.052909248
2023.02.20,1.0682,1.0688,1.0705,1.067,52710,-0.11,1.052791753
2023.02.17,1.0694,1.0674,1.0699,1.0612,88740,0.24,1.052636896
2023.02.16,1.0668,1.069,1.0723,1.0654,75550,-0.2,1.052468423
2023.02.15,1.0689,1.0738,1.0746,1.066,65430,-0.43,1.052324387
2023.02.14,1.0735,1.0723,1.0805,1.0706,74170,0.14,1.052157798
2023.02.13,1.072,1.0679,1.0731,1.0655,69660,0.42,1.051943303
2023.02.10,1.0675,1.0738,1.0754,1.0666,64560,-0.57,1.051741729
2023.02.09,1.0736,1.0711,1.0793,1.0709,69230,0.25,1.051583354
2023.02.08,1.0709,1.0726,1.0761,1.0709,63660,-0.13,1.051362081
2023.02.07,1.0723,1.0727,1.0768,1.0667,111810,-0.07,1.05116572
2023.02.06,1.073,1.079,1.0799,1.0709,90140,-0.58,1.050953315
2023.02.03,1.0793,1.0909,1.0941,1.0791,103100,-1.07,1.050731741
2023.02.02,1.091,1.099,1.1034,1.0885,88060,-0.72,1.050444622
2023.02.01,1.0989,1.0864,1.1001,1.0852,77540,1.17,1.050037031
2023.01.31,1.0862,1.085,1.0876,1.0802,76110,0.17,1.049545946
2023.01.30,1.0844,1.0875,1.0914,1.0839,77690,-0.21,1.049177563
2023.01.27,1.0867,1.0892,1.0901,1.0836,92390,-0.2,1.048823569
2023.01.26,1.0889,1.0917,1.093,1.0849,85140,-0.24,1.048442901
2023.01.25,1.0915,1.0881,1.0925,1.0856,73250,0.28,1.048036297
2023.01.24,1.0885,1.0872,1.0898,1.0834,69930,0.16,1.047599476
2023.01.23,1.0868,1.086,1.0927,1.0846,72100,0.12,1.047188415
2023.01.20,1.0855,1.0833,1.086,1.0802,77670,0.26,1.046790309
2023.01.19,1.0827,1.079,1.0841,1.0782,103050,0.32,1.046401267
2023.01.18,1.0792,1.079,1.0889,1.0766,110020,0.04,1.046036456
2023.01.17,1.0788,1.0822,1.087,1.0775,109130,-0.26,1.045703154
2023.01.16,1.0816,1.0834,1.0875,1.0801,66660,-0.11,1.045370522
2023.01.13,1.0828,1.0854,1.0869,1.078,98060,-0.17,1.045006407
2023.01.12,1.0846,1.0757,1.0868,1.073,95620,0.85,1.044626572
2023.01.11,1.0755,1.0736,1.0777,1.0725,87800,0.2,1.044224829
2023.01.10,1.0734,1.0725,1.076,1.0711,94330,0.06,1.043910505
2023.01.09,1.0728,1.0637,1.0761,1.0636,87400,0.79,1.043614128
2023.01.06,1.0644,1.0522,1.0648,1.0483,94850,1.18,1.043320803
2023.01.05,1.052,1.0604,1.0632,1.0515,81260,-0.75,1.043108952
2023.01.04,1.0599,1.0552,1.0636,1.054,90180,0.5,1.043019595
2023.01.03,1.0546,1.0663,1.0684,1.0519,94720,-1.09,1.042849942
2023.01.02,1.0662,1.0702,1.0708,1.065,21160,-0.37,1.042731851
2022.12.30,1.0702,1.0663,1.0714,1.0639,71530,0.38,1.04249599
2022.12.29,1.0661,1.0609,1.0691,1.0609,59740,0.5,1.042217558
2022.12.28,1.0608,1.0642,1.0675,1.0606,56020,-0.28,1.041977534
2022.12.27,1.0638,1.0638,1.067,1.0611,68370,0.03,1.041788363
2022.12.26,1.0635,1.0611,1.0638,1.0604,17500,0.2,1.041567141
2022.12.23,1.0614,1.0595,1.0633,1.0586,94320,0.2,1.04134671
2022.12.22,1.0593,1.0607,1.066,1.0573,97300,-0.09,1.041145169
2022.12.21,1.0603,1.0625,1.0647,1.0589,86750,-0.17,1.040962709
2022.12.20,1.0621,1.0606,1.066,1.0579,130479,0.15,1.040768364
2022.12.19,1.0605,1.0591,1.0659,1.0575,91770,0.22,1.040553976
2022.12.16,1.0582,1.0626,1.0663,1.0584,96980,-0.41,1.040353513
2022.12.15,1.0626,1.0683,1.0737,1.0592,96300,-0.52,1.040174151
2022.12.14,1.0682,1.0633,1.0696,1.0618,93430,0.49,1.039948766
2022.12.13,1.063,1.0534,1.0674,1.0527,76620,0.9,1.039664834
2022.12.12,1.0535,1.0528,1.0581,1.0506,72910,0.05,1.03943031
2022.12.09,1.053,1.0559,1.0589,1.0507,81680,-0.25,1.039288906
2022.12.08,1.0556,1.0508,1.0566,1.0489,89810,0.49,1.039151106
2022.12.07,1.0505,1.0469,1.0551,1.0443,102170,0.34,1.03898579
2022.12.06,1.0469,1.0489,1.0533,1.0459,83940,-0.21,1.03887007
2022.12.05,1.0491,1.0517,1.0596,1.048,91070,-0.45,1.038789367
2022.12.02,1.0538,1.0524,1.0546,1.0428,82220,0.15,1.038685742
2022.12.01,1.0522,1.0407,1.0534,1.0393,108310,1.12,1.03853384
2022.11.30,1.0405,1.0329,1.043,1.0289,92190,0.76,1.038396492
2022.11.29,1.0327,1.034,1.0395,1.0319,75180,-0.1,1.038375351
2022.11.28,1.0337,1.0382,1.0497,1.033,78440,-0.56,1.03843239
2022.11.25,1.0395,1.0409,1.043,1.0354,70180,-0.12,1.038479952
2022.11.24,1.0408,1.0398,1.045,1.0381,68510,0.13,1.0384697
2022.11.23,1.0395,1.0304,1.0405,1.0296,74480,0.9,1.03844628
2022.11.22,1.0302,1.0243,1.0309,1.0239,79180,0.6,1.03843569
2022.11.21,1.0241,1.0318,1.0334,1.0223,82170,-0.8,1.03851846
2022.11.18,1.0324,1.0362,1.0396,1.0313,95100,-0.35,1.03866337
2022.11.17,1.036,1.0395,1.0408,1.0304,98800,-0.31,1.038726318
2022.11.16,1.0392,1.0349,1.0439,1.033,103830,0.43,1.038753718
2022.11.15,1.0348,1.0325,1.0481,1.028,104610,0.22,1.038749233
2022.11.14,1.0325,1.0366,1.0368,1.0271,103340,-0.26,1.038788924
2022.11.11,1.0352,1.0209,1.0365,1.0163,113990,1.41,1.038852129
2022.11.10,1.0208,1.0008,1.0223,0.9935,128780,1.97,1.038888834
2022.11.09,1.0011,1.0074,1.0089,0.9992,117090,-0.61,1.039070631
2022.11.08,1.0072,1.0022,1.0097,0.9972,100700,0.53,1.039452245
2022.11.07,1.0019,0.9911,1.0035,0.9899,94490,0.59,1.039776389
2022.11.04,0.996,0.975,0.9967,0.9742,86220,2.14,1.040157056
2022.11.03,0.9751,0.9819,0.984,0.9729,76010,-0.67,1.040600845
2022.11.02,0.9817,0.9875,0.9977,0.9812,77340,-0.58,1.041259145
2022.11.01,0.9874,0.9882,0.9955,0.9852,71010,-0.09,1.04185773
2022.10.31,0.9883,0.9947,0.9966,0.9872,75220,-0.8,1.042405044
2022.10.28,0.9963,0.9965,0.9998,0.9926,76680,0.01,1.042948813
2022.10.27,0.9962,1.0079,1.0094,0.9957,110900,-1.14,1.043417645
