Date,Price,Open,High,Low,Change %,200EMA,20EMA
11/11/2015,1.0744,1.0724,1.0774,1.0705,0.19%,1.1321,1.097
11/10/2015,1.0724,1.0751,1.0764,1.0673,-0.26%,1.1327,1.0993
11/09/2015,1.0752,1.0738,1.0793,1.0719,0.10%,1.1333,1.1022
11/06/2015,1.0741,1.0886,1.0896,1.0709,-1.31%,1.1339,1.105
11/05/2015,1.0884,1.0865,1.0898,1.0835,0.19%,1.1345,1.1083
11/04/2015,1.0863,1.0962,1.0968,1.0842,-0.96%,1.1349,1.1103
11/03/2015,1.0968,1.1014,1.1031,1.0936,-0.43%,1.1354,1.1129
11/02/2015,1.1015,1.1015,1.1053,1.1001,0.08%,1.1358,1.1146
10/30/2015,1.1006,1.0976,1.1073,1.0964,0.27%,1.1362,1.1159
10/29/2015,1.0976,1.0924,1.0985,1.0903,0.51%,1.1365,1.1176
10/28/2015,1.092,1.105,1.1096,1.0894,-1.16%,1.1369,1.1197
10/27/2015,1.1048,1.1056,1.1079,1.1029,-0.07%,1.1374,1.1226
10/26/2015,1.1056,1.1008,1.1069,1.0987,0.34%,1.1377,1.1244
10/23/2015,1.1018,1.1111,1.1142,1.0997,-0.80%,1.138,1.1264
10/22/2015,1.1107,1.1338,1.1351,1.1098,-2.05%,1.1384,1.129
10/21/2015,1.1339,1.1347,1.138,1.1335,-0.05%,1.1387,1.1309
10/20/2015,1.1345,1.1326,1.1387,1.1324,0.16%,1.1387,1.1306
10/19/2015,1.1327,1.1352,1.1382,1.1307,-0.18%,1.1387,1.1302
10/16/2015,1.1347,1.1383,1.1397,1.1334,-0.32%,1.1388,1.13
10/15/2015,1.1383,1.1474,1.1496,1.1363,-0.78%,1.1388,1.1295
10/14/2015,1.1473,1.1378,1.149,1.1374,0.83%,1.1388,1.1285
10/13/2015,1.1379,1.1358,1.1413,1.1346,0.21%,1.1388,1.1266
10/12/2015,1.1355,1.1355,1.1397,1.1351,-0.03%,1.1388,1.1254
10/09/2015,1.1358,1.1282,1.1391,1.1269,0.70%,1.1388,1.1243
10/08/2015,1.1279,1.1235,1.1325,1.1232,0.39%,1.1388,1.1231
10/07/2015,1.1235,1.1269,1.1284,1.121,-0.32%,1.1389,1.1226
10/06/2015,1.1271,1.1193,1.1282,1.1174,0.77%,1.1391,1.1225
10/05/2015,1.1185,1.122,1.129,1.117,-0.23%,1.1392,1.122
10/02/2015,1.1211,1.1196,1.1319,1.1151,0.14%,1.1394,1.1224
10/01/2015,1.1195,1.1176,1.121,1.1134,0.16%,1.1396,1.1225
09/30/2015,1.1177,1.1246,1.1262,1.1157,-0.64%,1.1398,1.1228
09/29/2015,1.1249,1.1247,1.1285,1.1196,0.03%,1.14,1.1234
09/28/2015,1.1246,1.1195,1.125,1.1149,0.46%,1.1402,1.1232
09/25/2015,1.1195,1.1227,1.1231,1.1115,-0.31%,1.1403,1.1231
09/24/2015,1.123,1.1185,1.1296,1.1164,0.38%,1.1406,1.1235
09/23/2015,1.1187,1.112,1.1214,1.1105,0.60%,1.1407,1.1235
09/22/2015,1.112,1.1188,1.1209,1.1114,-0.62%,1.141,1.124
09/21/2015,1.1189,1.1284,1.1332,1.1183,-1.03%,1.1412,1.1253
09/18/2015,1.1305,1.1435,1.146,1.1267,-1.15%,1.1415,1.126
09/17/2015,1.1437,1.129,1.1442,1.1284,1.30%,1.1416,1.1255
09/16/2015,1.129,1.1267,1.1321,1.1212,0.20%,1.1416,1.1236
09/15/2015,1.1267,1.1313,1.1328,1.1258,-0.48%,1.1417,1.123
09/14/2015,1.1321,1.1338,1.1375,1.1285,-0.17%,1.1418,1.1226
09/11/2015,1.134,1.1279,1.1349,1.1254,0.53%,1.1419,1.1216
09/10/2015,1.128,1.1209,1.1299,1.1174,0.65%,1.142,1.1203
09/09/2015,1.1207,1.1202,1.1219,1.1133,0.06%,1.1422,1.1195
09/08/2015,1.12,1.117,1.1229,1.1152,0.29%,1.1424,1.1193
