"((((0.9319, 198.8483), 20000), 20), 0)"
"((((1.0489, 54.5179), -80000), 0), 0)"
"((((1.0411, 20.6193), -100000), 3.141592653589793), 0)"
"((((0.9241, 33.9805), -80000), 0), 0)"
"((((0.9241, 33.9805), -80000), 3.141592653589793), 0)"
"((((0.9475, 33.9805), -80000), -20), 0)"
"((((0.9709, 33.9805), -80000), -20), 0)"
"((((0.9865, 82.9422), 80000), 0), 0)"
"((((1.0177, 157.9964), 40000), 20), 0)"
"((((0.9631, 82.9422), -100000), 0), 0)"
"((((0.9787, 198.8483), -80000), -20), 0)"
"((((1.1425, 117.8789), 40000), 20), 0)"
"((((1.1659, 82.9422), -80000), 3.141592653589793), 0)"
"((((1.1581, 198.8483), -80000), 3.141592653589793), 0)"
"((((1.1269, 82.9422), 60000), 0), 0)"
"((((1.2517, 117.8789), -60000), 0), 0)"
"((((1.1503, 117.8789), -80000), 0), 0)"
"((((1.1503, 117.8789), -80000), -20), 0)"
"((((1.2205, 157.9964), -80000), 0), 0)"
"((((1.3219, 117.8789), -60000), -20), 0)"
"((((1.4545, 117.8789), -40000), 3.141592653589793), 0)"
"((((1.5091, 54.5179), -60000), 3.141592653589793), 0)"
"((((1.4623, 54.5179), -80000), 0), 0)"
"((((1.5325, 54.5179), 20000), -3.141592653589793), 0)"
"((((1.5325, 20.6193), 80000), 0), 0)"
"((((1.5325, 20.6193), 80000), -3.141592653589793), 0)"
"((((1.5559, 10.7373), 100000), -3.141592653589793), 0)"
"((((1.5715, 33.9805), 100000), 0), 0)"
"((((1.5169, 20.6193), 60000), 20), 0)"
"((((1.4857, 33.9805), -100000), 3.141592653589793), 0)"
"((((1.4701, 198.8483), 80000), 0), 0)"
"((((1.4701, 198.8483), 80000), 20), 0)"
"((((1.4077, 54.5179), -60000), 0), 0)"
"((((1.4233, 198.8483), 40000), 0), 0)"
"((((1.4233, 198.8483), 40000), -3.141592653589793), 0)"
"((((1.3687, 117.8789), 40000), 20), 0)"
"((((1.3765, 157.9964), 40000), 20), 0)"
"((((1.3609, 117.8789), 80000), -3.141592653589793), 0)"
"((((1.1815, 82.9422), 80000), 0), 0)"
"((((1.2205, 33.9805), 100000), 0), 0)"
"((((1.1893, 198.8483), 60000), -3.141592653589793), 0)"
"((((1.2127, 82.9422), -80000), 3.141592653589793), 0)"
"((((1.1581, 157.9964), 100000), -3.141592653589793), 0)"
"((((1.2751, 82.9422), 100000), -3.141592653589793), 0.0)"
"((((1.4467, 117.8789), 60000), -3.141592653589793), 0)"
"((((1.4467, 117.8789), 60000), 20), 0)"
"((((1.2673, 117.8789), 80000), 20), 0)"
"((((1.2283, 54.5179), 100000), -3.141592653589793), 0)"
"((((1.2517, 157.9964), 100000), -3.141592653589793), 0)"
"((((1.2673, 82.9422), 60000), 0), 0)"
"((((1.4467, 157.9964), 80000), 0), 0)"
"((((1.4467, 157.9964), 80000), -3.141592653589793), 0)"
"((((1.4545, 82.9422), 80000), 20), 0)"
"((((1.4311, 157.9964), 20000), -3.141592653589793), 0)"
"((((1.4311, 157.9964), 20000), 20), 0)"
"((((1.4311, 82.9422), 40000), 20), 0)"
"((((0.9085, 33.9805), -80000), 0), 0)"
"((((0.9085, 33.9805), -80000), 3.141592653589793), 0)"
"((((0.8695, 54.5179), -100000), 0), 0)"
"((((0.9319, 198.8483), -80000), 0), 0)"
"((((0.9319, 198.8483), -80000), 3.141592653589793), 0)"
"((((1.0177, 117.8789), 60000), 0), 0)"
"((((0.9631, 54.5179), 80000), -3.141592653589793), 0)"
"((((0.9631, 54.5179), 80000), 20), 0)"
"((((0.9943, 117.8789), 80000), 20), 0)"
"((((0.9397, 157.9964), 40000), -3.141592653589793), 0)"
"((((0.9397, 157.9964), 40000), 20), 0)"
"((((0.9553, 82.9422), 80000), 0), 0)"
"((((0.9553, 82.9422), 80000), -3.141592653589793), 0)"
"((((0.9865, 82.9422), -60000), 0), 0)"
"((((0.9865, 82.9422), -60000), 3.141592653589793), 0)"
"((((0.9631, 82.9422), 40000), 0), 0)"
"((((0.9475, 157.9964), 40000), -3.141592653589793), 0)"
"((((1.0099, 117.8789), -60000), 0), 0)"
"((((1.0099, 117.8789), -60000), 3.141592653589793), 0)"
"((((1.1269, 157.9964), 40000), 20), 0)"
"((((1.1581, 33.9805), -80000), 0), 0)"
"((((1.2049, 54.5179), -80000), -20), 0)"
"((((1.2283, 157.9964), 80000), 0), 0)"
"((((1.2283, 117.8789), 80000), -3.141592653589793), 0)"
"((((1.2205, 157.9964), -60000), 3.141592653589793), 0)"
"((((1.1191, 82.9422), -100000), 0), 0)"
"((((1.0723, 82.9422), 100000), -3.141592653589793), 0)"
"((((1.0801, 117.8789), -80000), -20), 0)"
"((((1.4701, 33.9805), 100000), -3.141592653589793), 0)"
"((((1.5325, 157.9964), 20000), 0), 0)"
